Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-29c-5p	4	2	1	3	9	4	2	1	4	11	16	5	3	7	4
miR-300	52	113	1	98	195	63	8	64	66	97	145	68	59	41	22
miR-301a-3p	3	8	NA	7	26	1	NA	5	1	8	17	10	5	9	4
miR-301b	3	8	NA	7	26	1	NA	5	1	7	17	10	5	9	4
miR-3064-5p	1	NA	1	NA	NA	1	1	NA	NA	NA	NA	NA	1	NA	NA
miR-3065-3p	1	3	NA	2	2	1	2	2	NA	1	3	1	NA	NA	2
miR-30a-3p	78	128	39	73	222	43	39	77	39	102	67	34	49	42	130
miR-30a-5p	1794	4509	1052	2505	8784	1497	1048	2156	1001	3927	3592	1812	1662	1827	5908
miR-30b-5p	445	968	312	542	1723	345	306	477	328	811	1016	600	384	398	1520
miR-30c-2-3p	3	5	3	5	9	3	NA	4	1	3	1	2	1	NA	4
miR-30c-5p	445	968	312	542	1723	345	307	477	328	810	1016	600	384	399	1520
miR-30d-5p	1793	4515	1050	2499	8789	1497	1040	2153	1000	3926	3588	1809	1659	1829	5910
miR-30e-3p	78	127	39	71	218	43	39	76	38	102	67	34	48	42	130
miR-30e-5p	2	8	2	6	19	5	3	3	2	9	16	10	3	4	19
miR-31-3p	1	NA	NA	1	1	3	NA	NA	NA	1	1	1	4	NA	NA
miR-31-5p	8	5	1	7	11	7	NA	2	13	11	14	20	9	4	2
miR-3122	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA
miR-3139	1	NA	NA	1	1	NA	NA	NA	1	2	NA	NA	1	NA	NA
miR-3189-5p	1	NA	NA	NA	NA	2	NA	NA	4	1	1	4	3	NA	NA
miR-3194-3p	5	NA	1	6	NA	9	4	NA	16	NA	13	9	4	4	1
miR-32-5p	7	12	1	3	14	2	4	7	2	5	4	NA	3	NA	15
miR-3200-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA
miR-320a	71	185	42	107	285	73	39	66	74	161	171	147	78	84	172
miR-320b	22	79	8	31	114	24	13	30	18	62	46	40	24	29	50
miR-320c	49	110	34	80	170	49	26	36	60	101	127	109	58	57	124
miR-323a-3p	4	6	NA	15	16	10	NA	1	15	4	28	9	13	6	1
miR-323b-3p	3	1	NA	2	1	3	NA	NA	2	1	7	6	NA	2	NA
miR-324-3p	2	1	NA	4	4	3	NA	NA	1	1	3	1	2	NA	NA
miR-326	3	2	NA	9	2	6	1	2	2	5	14	10	7	4	2
miR-328-3p	10	NA	1	16	5	3	1	2	20	14	43	26	13	10	4
miR-329-3p	4	4	NA	4	6	3	NA	2	2	3	6	4	3	1	NA
miR-330-5p	2	2	NA	4	2	1	NA	2	8	5	7	8	1	NA	1
miR-335-3p	32	153	3	39	258	22	4	59	2	73	7	7	12	32	21
miR-335-5p	55	203	15	55	353	32	2	85	6	113	18	17	26	43	32
miR-338-5p	3	NA	NA	10	NA	9	NA	NA	8	4	31	17	6	2	NA
